,Angle,Right Hip X,Right Hip Y,Right Knee X,Right Knee Y,Right Foot X,Right Foot Y
0,177.9949164883054,0.2816751003265381,1.108492136001587,0.3053954243659973,1.6616082191467285,0.3254711627960205,2.379183769226074
1,179.99083223210098,0.29452618956565857,1.1085909605026245,0.3084305226802826,1.655094861984253,0.33408018946647644,2.337991237640381
2,186.99529377040508,0.30659452080726624,1.0913664102554321,0.27677640318870544,1.5248653888702393,0.30116409063339233,2.075810194015503
3,183.96391740977197,0.31595033407211304,1.0820311307907104,0.29403093457221985,1.5713329315185547,0.30655714869499207,2.10430645942688
4,180.3633119460487,0.3263660669326782,1.0468251705169678,0.31927284598350525,1.5779813528060913,0.3275206983089447,2.203199863433838
5,179.10851274537018,0.3311507999897003,1.0431257486343384,0.32822832465171814,1.5827597379684448,0.32865095138549805,2.2338356971740723
6,179.12352054245432,0.3301182985305786,1.0498507022857666,0.3329964578151703,1.61728835105896,0.34012091159820557,2.2354211807250977
7,178.624163566688,0.3262469172477722,1.0743650197982788,0.33074063062667847,1.6497167348861694,0.3264656662940979,2.2901508808135986
8,178.9018920623477,0.3264111876487732,1.0573115348815918,0.32877427339553833,1.6273084878921509,0.32315489649772644,2.254554510116577
9,178.70168117089568,0.325482577085495,1.0574872493743896,0.32929718494415283,1.646072268486023,0.3267682194709778,2.2778053283691406
10,178.5447783256888,0.3245224058628082,1.094871997833252,0.32936573028564453,1.65830397605896,0.32678207755088806,2.2973389625549316
11,177.92294040579773,0.32379740476608276,1.1148967742919922,0.3319818675518036,1.6802260875701904,0.32750728726387024,2.3209502696990967
12,177.94900947821225,0.3285219669342041,1.0684771537780762,0.3377363085746765,1.661356806755066,0.3341875374317169,2.3019683361053467
13,178.09348611667926,0.3287757933139801,1.0319311618804932,0.33649519085884094,1.6083823442459106,0.3340429365634918,2.2406458854675293
14,179.72443176783915,0.3280753195285797,0.965598464012146,0.32500332593917847,1.5065834522247314,0.33516642451286316,2.1324448585510254
15,248.8775447860497,0.3190244138240814,0.7635993361473083,0.2384202927350998,1.1348050832748413,0.39076679944992065,1.3328884840011597
16,230.163514869867,0.32176870107650757,0.5277844071388245,0.26203620433807373,0.8185438513755798,0.33171576261520386,1.194237232208252
17,190.67521954083705,0.3263612687587738,0.4766901731491089,0.34995874762535095,0.8084118366241455,0.3721936345100403,1.21128249168396
18,185.66783568625078,0.33453530073165894,0.47448107600212097,0.3576563894748688,0.7987398505210876,0.3839934170246124,1.2529538869857788
19,181.58049845859784,0.3351777493953705,0.4243380129337311,0.36249303817749023,0.7292372584342957,0.3930695652961731,1.2203811407089233
20,184.59739856139817,0.34238317608833313,0.43059492111206055,0.3622359037399292,0.7115565538406372,0.4453263282775879,1.163834810256958
21,180.55186659770922,0.3923846483230591,0.4085507392883301,0.39589208364486694,0.6866937279701233,0.46239209175109863,0.935410737991333
22,175.4015212464814,0.4144867956638336,0.33705347776412964,0.42714399099349976,0.6029127836227417,0.4866775572299957,0.8425794243812561
23,177.63264173421337,0.40698856115341187,0.18753986060619354,0.4145737588405609,0.5205205082893372,0.45966315269470215,0.8383142352104187
24,177.37696580618075,0.39482587575912476,0.10499469935894012,0.4079263210296631,0.4518600404262543,0.46538931131362915,0.8293896317481995
25,171.9428952308449,0.3981025218963623,0.2683660387992859,0.4190084934234619,0.5161786675453186,0.4745636582374573,0.8352128863334656
26,174.79834741942133,0.4185856282711029,0.29664990305900574,0.42820388078689575,0.5275667309761047,0.4764952063560486,0.8120319843292236
27,173.91102801144837,0.40801143646240234,0.2549695670604706,0.4241274297237396,0.4950418770313263,0.4682719111442566,0.8437600135803223
28,171.9879990158722,0.403963565826416,0.1433011293411255,0.42855849862098694,0.4678550660610199,0.46452754735946655,0.8447438478469849
29,171.79497522512824,0.41403403878211975,0.10028012841939926,0.4340967535972595,0.4699811339378357,0.4620531499385834,0.8431022763252258
30,171.00750270943396,0.4224783778190613,0.09681453555822372,0.44539347290992737,0.43056777119636536,0.4684678614139557,0.804908812046051
31,171.19117015292895,0.4253588318824768,0.09448103606700897,0.4527624547481537,0.4096485674381256,0.4855527877807617,0.7562499046325684
