,Angle,Left Hip X,Left Hip Y,Right Hip X,Right Hip Y,Left Knee X,Left Knee Y,Right Knee X,Right Knee Y,Left Foot X,Left Foot Y,Right Foot X,Right Foot Y
138,148.485497,0.42299819,0.434631765,0.424115509,0.443253964,0.498664796,0.609855413,0.501855731,0.609978318,0.523776591,0.609855413,0.501855731,0.940101802
139,138.3195827,0.419972748,0.476053566,0.421635091,0.47807315,0.507758141,0.619228005,0.514122248,0.614936471,0.522711694,0.619228005,0.514122248,0.941848099
140,127.866001,0.416174263,0.495151639,0.414866447,0.501847863,0.512707829,0.619145215,0.516848385,0.620435178,0.505444646,0.619145215,0.516848385,0.941691101
141,119.609208,0.40658778,0.521258473,0.411569595,0.530636907,0.511239052,0.626998484,0.519128919,0.621681869,0.499342293,0.626998484,0.519128919,0.941948533
142,118.7758108,0.400430053,0.549504876,0.406918347,0.554236114,0.505396187,0.65505594,0.521533906,0.620646358,0.499713987,0.65505594,0.521533906,0.93864727
143,118.1464803,0.393153131,0.536898732,0.392564237,0.542233348,0.507448852,0.65078187,0.519073129,0.620011032,0.501695454,0.65078187,0.519073129,0.934740901
144,124.9822251,0.390371501,0.506246984,0.395657003,0.510837436,0.506330669,0.649666488,0.514015079,0.617890477,0.503100634,0.649666488,0.514015079,0.932122231
145,132.9663305,0.39195177,0.457262635,0.398917586,0.459047109,0.498422235,0.615326524,0.511661708,0.615540385,0.51676333,0.615326524,0.511661708,0.924018025
146,145.8761959,0.401588053,0.390955895,0.401044309,0.394573182,0.490866095,0.590085208,0.492859036,0.612856269,0.519298136,0.590085208,0.492859036,0.923613667
147,164.7830554,0.422163785,0.335442096,0.41870594,0.326892048,0.469848156,0.584586799,0.470166057,0.603431046,0.519245386,0.584586799,0.470166057,0.927202284
148,166.4228002,0.428203523,0.311869353,0.44062686,0.302282721,0.471985191,0.574524701,0.467422068,0.598323464,0.518855214,0.574524701,0.467422068,0.927842855
149,173.8625623,0.457807481,0.316660523,0.457299471,0.311277986,0.470030397,0.554416656,0.466974795,0.594701886,0.519473195,0.554416656,0.466974795,0.927619576
150,171.6948459,0.447786808,0.328866988,0.463692009,0.315547913,0.468905032,0.566244066,0.470180213,0.593240976,0.511707067,0.566244066,0.470180213,0.930417955
151,169.8990313,0.438949823,0.328527987,0.4612225,0.315634757,0.467277706,0.569488168,0.472842842,0.590025604,0.508341849,0.569488168,0.472842842,0.934353232
152,172.3472258,0.44765687,0.32855323,0.460965574,0.323372573,0.466329277,0.573068261,0.474338621,0.591436505,0.508571982,0.573068261,0.474338621,0.935433209
153,173.0947664,0.442749172,0.342303127,0.458698124,0.337772042,0.460125864,0.579005837,0.47551316,0.591614068,0.508812249,0.579005837,0.47551316,0.935757101
154,172.0505538,0.440477312,0.346520156,0.454834878,0.343879968,0.461513191,0.592517555,0.47492972,0.596366048,0.508927345,0.592517555,0.47492972,0.939753294
155,166.0004525,0.440571845,0.358758241,0.444125801,0.354239941,0.475563943,0.603683829,0.487004697,0.60468781,0.512937963,0.603683829,0.487004697,0.939681411
156,158.2344343,0.43060416,0.39016816,0.430523306,0.390179485,0.486465365,0.612441182,0.499587774,0.607417345,0.514579952,0.612441182,0.499587774,0.939535379
